itemId,title,leafCategoryIds,categories,itemHref,condition,conditionId,thumbnailImages,buyingOptions,epid,itemWebUrl,additionalImages,adultOnly,legacyItemId,availableCoupons,itemCreationDate,topRatedBuyingExperience,priorityListing,listingMarketplaceId,image.imageUrl,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.postalCode,itemLocation.country,shippingOptions
v1|276500810621|0,Size 10.5 - Nike Dunk SB Premium High MF Doom,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C276500810621%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/Pg8AAOSw0mFmZRrx/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",24039820834,https://www.ebay.com/itm/276500810621?hash=item4060bb8b7d:g:Pg8AAOSw0mFmZRrx&amdata=enc%3AAQAJAAAA4CL6dnwg9jEiiTrGTCeRiOETp7Mdr5vjPGXDIVk8S6TF5gtvnwiJ0zXGgANHVp5RVvf8dNINz7tMmZDAFdaez49GMpun%2BH4hmTvCrPGaCgCkrK%2FO7H4rWRUk2%2FdLjdzIl0eFcSLkcWGrzXBjsBbn6YsFQeBzDuoT%2FUQNhsx%2FY%2F%2BZnGfEyYcs26h%2Fo7gMC6IJULarEBHoYKyhJHiA28jgMeXeJLFD2jasbZhnBzed6KgiwAtEv3sV46o4VygT97vu4nuIQWt36ztai7yTdVR7dN9JhPP0tWB3jWhd6FvPkgys,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/4SoAAOSwsWVmZRry/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/RHcAAOSwZEVmZRry/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/dJUAAOSwLRdmZRrx/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/vZEAAOSwN5BmZRrz/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/NE0AAOSwV2ZmZRrz/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/QF0AAOSw7nlmZRry/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/aqYAAOSwMzdmZRrz/s-l225.jpg'}]",False,276500810621,False,2024-06-09T03:01:38.000Z,False,True,EBAY_US,https://i.ebayimg.com/thumbs/images/g/Pg8AAOSw0mFmZRrx/s-l225.jpg,1350.00,USD,mwoods6969,100.0,33,294**,US,
v1|144915052745|0,VTG 2012 NIKE SB DUNK HIGH PREMIUM BLACK 3M RAGING BULL MF DOOM PHARRELL SZ 9,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C144915052745%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/YEIAAOSwRSNj0F2C/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",,https://www.ebay.com/itm/144915052745?hash=item21bd9c38c9:g:YEIAAOSwRSNj0F2C&amdata=enc%3AAQAJAAAA4DxIDN%2Bs2brBrK%2F3nzT8oOMInPQ8kSSjejkENL%2B%2BN%2FZ1DLaYxzP34WMTEnnRzKsyky4HAR2l9qQOAJM4MR7YbEsuA2Kcnpx64lQ4PbE95hLt4q3rKuN7BEeO%2FW1RB2buIlAS7PGbsg0ZzaqrQGyrpKxKtpDK8x50RpQLjIsfl%2BwWssaL11NeVFvPWJR5ttDRt6Y1MOdWHpCnY3tlXIlMendq97h%2FaHHt9pYnD9Ei2RCd%2FwVr%2BTZ%2FZtkg%2FWtHKZzZ6TKiH1YBsZrHxPmWzCC2nxc1u43nGC8nntLB7BuaiVwu,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/8gkAAOSwET1j0F2D/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/AKUAAOSwUZRj0F2E/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/kccAAOSwjXlj0F2C/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/fkkAAOSwDflj0F2C/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/Me0AAOSwCv1j0F2C/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/1nYAAOSwM6Vj0F2E/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/m-AAAOSwpwBj0F2E/s-l225.jpg'}]",False,144915052745,False,2023-01-24T22:41:26.000Z,False,True,EBAY_US,https://i.ebayimg.com/thumbs/images/g/YEIAAOSwRSNj0F2C/s-l225.jpg,275.00,USD,flipitsf,100.0,3804,941**,US,"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '75.00', 'currency': 'USD'}}]"
v1|405003538792|0,Size 10.5 - Nike Dunk SB Premium High MF Doom,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C405003538792%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/W7wAAOSwyJlmVkrj/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",24039820834,https://www.ebay.com/itm/405003538792?hash=item5e4c179168:g:W7wAAOSwyJlmVkrj,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/jE0AAOSwi6VmVkrj/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/SUcAAOSwRbdmVkrj/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/yf0AAOSwY6hmVkrl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/FgYAAOSwvNFmVkrk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/CjYAAOSwNQpmVkrk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/J8sAAOSwEKdmVkrk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/nWwAAOSwnHFmVkrl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/DxEAAOSwffZmVkrl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/BSYAAOSwiN1mVkrl/s-l225.jpg'}]",False,405003538792,False,2024-05-28T21:27:12.000Z,False,False,EBAY_US,https://i.ebayimg.com/thumbs/images/g/W7wAAOSwyJlmVkrj/s-l225.jpg,1095.00,USD,chans_kicks,100.0,8,282**,US,
v1|326141102516|0,Size 9.5 - Nike Dunk SB Premium High MF Doom,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C326141102516%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/i3gAAOSwlfFmU7ZU/s-l960.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",10039829201,https://www.ebay.com/itm/326141102516?hash=item4bef8649b4:g:i3gAAOSwlfFmU7ZU,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/vEsAAOSwuYBmU9SW/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/ukIAAOSwB0JmU9Sl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/ps8AAOSwdaVmU7S3/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/9FsAAOSwIC9mU9S0/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/3NAAAOSwip1mU9TA/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/gR0AAOSwDV1mU9TM/s-l225.jpg'}]",False,326141102516,False,2024-05-26T22:24:08.000Z,False,False,EBAY_US,https://i.ebayimg.com/thumbs/images/g/i3gAAOSwlfFmU7ZU/s-l225.jpg,999.00,USD,steezand23s,100.0,45,300**,US,
v1|285894956601|0,Size 11 - Nike Dunk SB Premium High MF Doom,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C285894956601%7C0,New with box,1000,[{'imageUrl': 'https://i.ebayimg.com/images/g/Bt0AAOSwFKhmYQ5Q/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",7039827810,https://www.ebay.com/itm/285894956601?hash=item4290aad639:g:Bt0AAOSwFKhmYQ5Q,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/7l4AAOSw5fxmYQ5Q/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/tukAAOSwPmZmYQ5Q/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/EvEAAOSwVe1mYQ5Q/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/0lIAAOSwC3xmYQ5R/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/pUQAAOSwIu5mYQ5R/s-l225.jpg'}]",False,285894956601,False,2024-06-06T01:19:01.000Z,False,False,EBAY_US,https://i.ebayimg.com/thumbs/images/g/Bt0AAOSwFKhmYQ5Q/s-l225.jpg,2800.00,USD,ajvcollectibles,98.1,315,601**,US,
v1|305394340106|0,Size 9 - Nike SB Dunk High Purple Box 2016 Un MF DOOM Rare,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C305394340106%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/ldcAAOSwCHNlySbY/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",4039820496,https://www.ebay.com/itm/305394340106?hash=item471aebd10a:g:ldcAAOSwCHNlySbY,,False,305394340106,False,2024-02-11T19:58:32.000Z,False,False,EBAY_US,https://i.ebayimg.com/thumbs/images/g/ldcAAOSwCHNlySbY/s-l225.jpg,279.50,USD,depthinc,99.9,776,029**,US,
v1|226187722839|0,Nike SB Dunk MF DOOM US Size 8.5 High Black Gray 2007 313171-004,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C226187722839%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/NGYAAOSwgTJmZ8KI/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",18039825769,https://www.ebay.com/itm/226187722839?hash=item34a9d6c057:g:NGYAAOSwgTJmZ8KI,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/920AAOSwYLVmZ7vr/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/PbwAAOSwYJhmZ7vk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/bJgAAOSwS9dmZ7vn/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/My8AAOSw3dhmZ7vk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/5xgAAOSw3iBmZ7vk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/5KUAAOSwJ8tmZ7vo/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/d3sAAOSw19xmZ7vm/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/qLUAAOSwXJlmZ7vr/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/v4EAAOSwPnpmZ7vq/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/V68AAOSwjBBmZ7vp/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/fC0AAOSwYhpmZ7vo/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/7WAAAOSwKPZmZ7vo/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/5agAAOSwd3lmZ7vp/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/F94AAOSwb81mZ7vq/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/hO0AAOSw9DNmZ7vq/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/42sAAOSw7nlmZ7vp/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/wZgAAOSwjnRmZ7vl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/q0QAAOSwRSlmZ7vp/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/Bh8AAOSwa-NmZ7vp/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/du4AAOSwbVdmZ7vl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/cIYAAOSwQDtmZ7vn/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/0cgAAOSwyWVmZ7vn/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/jWgAAOSwyhhmZ7vj/s-l225.jpg'}]",False,226187722839,False,2024-06-11T02:55:49.000Z,False,False,EBAY_US,https://i.ebayimg.com/thumbs/images/g/NGYAAOSwgTJmZ8KI/s-l225.jpg,799.00,USD,djhollyc,100.0,95,294**,US,
v1|156242694057|0,Size 9 - Nike Dunk SB Premium High MF Doom - Original Purple Box - 2007 - VNDS,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C156242694057%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/hqEAAOSwY65mUoDy/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",24039833333,https://www.ebay.com/itm/156242694057?hash=item2460ca4fa9:g:hqEAAOSwY65mUoDy,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/bwwAAOSwlC9mUoDm/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/yggAAOSwqHtmUoDn/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/SEQAAOSwonNmUoDn/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/N6UAAOSw1wpmUoDn/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/PlUAAOSwbHpmUoEF/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/QsoAAOSw4kxmUoDm/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/m1AAAOSwkVFmUoD6/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/xv8AAOSwndpmUoDn/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/9isAAOSwakdmUoDn/s-l225.jpg'}]",False,156242694057,False,2024-06-04T23:28:42.000Z,False,False,EBAY_US,https://i.ebayimg.com/thumbs/images/g/hqEAAOSwY65mUoDy/s-l225.jpg,1200.00,USD,riok64,0.0,0,551**,US,
v1|404672826379|0,2007 MF DOOM Nike Dunk High,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C404672826379%7C0,Pre-owned,3000,[{'imageUrl': 'https://i.ebayimg.com/images/g/l98AAOSwHHtldS6o/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",24039820834,https://www.ebay.com/itm/404672826379?hash=item5e38614c0b:g:l98AAOSwHHtldS6o&amdata=enc%3AAQAJAAAA4La7Bad10suXVed7vtakgBXq7azen%2FMZz7KRny4lTYg8cnkyxpEpJI5Ay1Ms10N29V99hGVyNqnm8oZhWjy0TODF022xUeuky0YXs4VNcDSx7TRDl4uz8kNsMp5YD%2Bx28Kx1I8Pmng0PZuERhlwrSgceJF4SBCBvcGpRtcDhTeFddPkQbuc7ySijzw9x2sAj1uSTLSJZjowNQmhQlhuOEbtjp8Na%2Blk%2BlWwNPpytSXdI%2FAMsHmUtE24BkiUaxJhinBjQaIyZZCD%2FGCWPD0AwAlqKytbNJEMyyEvM%2FGWHpr2B,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/1kYAAOSwxMxldS6p/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/MGsAAOSwJihldS6p/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/i60AAOSwnShldS6o/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/LbUAAOSwCpVldS6p/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/gBcAAOSwlfFldS6q/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/MGgAAOSwQwhldS6r/s-l225.jpg'}]",False,404672826379,False,2023-12-10T03:21:40.000Z,False,True,EBAY_US,https://i.ebayimg.com/thumbs/images/g/l98AAOSwHHtldS6o/s-l225.jpg,1219.00,USD,freegiftstore,100.0,38,H3T***,CA,"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '22.00', 'currency': 'USD'}}]"
v1|285652497841|0,Nike SB Dunk High Premium MF Doom 2007,['15709'],"[{'categoryId': '15709', 'categoryName': 'Athletic Shoes'}, {'categoryId': '11450', 'categoryName': 'Clothing, Shoes & Accessories'}, {'categoryId': '260012', 'categoryName': 'Men'}, {'categoryId': '93427', 'categoryName': ""Men's Shoes""}]",https://api.ebay.com/buy/browse/v1/item/v1%7C285652497841%7C0,New without box,1500,[{'imageUrl': 'https://i.ebayimg.com/images/g/3IEAAOSwbehlou-E/s-l1600.jpg'}],"['FIXED_PRICE', 'BEST_OFFER']",20039829974,https://www.ebay.com/itm/285652497841?hash=item42823735b1:g:3IEAAOSwbehlou-E&amdata=enc%3AAQAJAAAA4Anc3kSwIoplsA3fUqpzjKlkxaVq%2B2Aa05RQWFlL4a2AkcZZHEZuR7husUf0KLFewpWfZJs0qK%2F7QzJKkaBW9hTE2PnmJmehcQ9gy%2FCyysCqsKFBsAJgg7lrRMsm0tBcdBus6hrdAeTGjze5OIDTVw0%2B3X--%2FPP5FwcyBGrzdjqzwI2JKMqE3vygNaShpqqwXiRyMsgL0ojUWcUqcYup6%2FGPwiGWlAkk2bJ2uwc09R%2FJ6dbnvNflzjFkGyUysCR88VuSp%2FHvulfCCRhG%2Ft1nulNwnAFIdiDWjvuUaTpYpgZv,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/cdMAAOSwOIdlou9U/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/jE4AAOSwABxlou9a/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/CXIAAOSwwmNlou9q/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/-SgAAOSwcjRlou92/s-l225.jpg'}]",False,285652497841,False,2024-01-13T20:20:19.000Z,False,True,EBAY_US,https://i.ebayimg.com/thumbs/images/g/3IEAAOSwbehlou-E/s-l225.jpg,3000.00,USD,shanelbrow-48,0.0,0,891**,US,
