id,slug,url,available,dateCreated,images,brand,sizes,price.amount,price.amountWithTax,price.discount,price.currency,price.nationalShipping,price.internationalShipping,seller.username,price.discount.percentage,price.discount.amountAfterDiscount
435155872,gabbysmithcloset-nike-sb-dunk-high-premium,https://www.depop.com/products/gabbysmithcloset-nike-sb-dunk-high-premium,True,2024-06-05T17:12:33.821977Z,"['https://media-photos.depop.com/b1/49404935/1892807556_f8a9adaaa33b40459cde5aac5f1b725f/P8.jpg', 'https://media-photos.depop.com/b1/49404935/1892807889_e931f9ad44784c1492e8c8067e39a71e/P8.jpg', 'https://media-photos.depop.com/b1/49404935/1892808595_a5bf02bf9ecd4230aa1996adb988f892/P8.jpg']",Nike,['US 8.5'],1250.00,,,USD,10.99,,gabbysmithcloset,,
412722823,jevoypop-mf-doom-rug-5ft-x,https://www.depop.com/products/jevoypop-mf-doom-rug-5ft-x,True,2024-03-06T14:33:38.971308Z,"['https://media-photos.depop.com/b1/29479190/1783165719_c1977963ca5649c2bce66788e2895515/P8.jpg', 'https://media-photos.depop.com/b1/29479190/1783166093_6c13f1c59f8146f5bb9270954f40ecf4/P8.jpg', 'https://media-photos.depop.com/b1/29479190/1783166098_38af589949354375ad1ea2026e0e7f93/P8.jpg', 'https://media-photos.depop.com/b1/29479190/1783166108_51001f39d3f84e5cb5506ccc4113e273/P8.jpg']",Nike,[],250.00,,,USD,13.49,,jevoypop,,
404718555,recordverb-mf-doom-born-like-this,https://www.depop.com/products/recordverb-mf-doom-born-like-this,True,2024-01-30T02:39:28.417908Z,"['https://media-photos.depop.com/b1/21272190/1743791268_1afa07636c844d0086b373e0875b004c/P8.jpg', 'https://media-photos.depop.com/b1/21272190/1743791269_8480430675534666a5b6a443719da8d1/P8.jpg']",,[],35.00,,,USD,4.49,,recordverb,,
401106953,recordverb-mf-doom-operation-doomsday-cassette-22af,https://www.depop.com/products/recordverb-mf-doom-operation-doomsday-cassette-22af,True,2024-01-14T08:30:00.477977Z,"['https://media-photos.depop.com/b1/21272190/1724030161_78f38731c23e44978fe68f90b41c2462/P8.jpg', 'https://media-photos.depop.com/b1/21272190/1724030160_f0ac09ea60134bc6a1b5c065051dcbcd/P8.jpg']",,[],40.00,,,USD,5.39,,recordverb,,
400194363,houseofhypevintage-stones-throw-madlib-concert-music,https://www.depop.com/products/houseofhypevintage-stones-throw-madlib-concert-music,True,2024-01-10T01:19:41.424687Z,"['https://media-photos.depop.com/b1/17810434/1719052321_9422be76de34487ea92c65902147e4ea/P8.jpg', 'https://media-photos.depop.com/b1/17810434/1719052322_ae9ec59cfce5413597dc758fbc768d37/P8.jpg', 'https://media-photos.depop.com/b1/17810434/1719052323_285a08cb657e4fdda42ca590ad191bfc/P8.jpg']",Other,['S'],15.00,,,USD,5.39,25.00,houseofhypevintage,,
392171180,dartherickson-mf-doom-slides-size-10,https://www.depop.com/products/dartherickson-mf-doom-slides-size-10,True,2023-11-26T22:54:00.592831Z,"['https://media-photos.depop.com/b1/18852964/1680500088_f40f1d6d5f964129adc2dbfee3d607bd/P8.jpg', 'https://media-photos.depop.com/b1/18852964/1680500275_0f0b12e82d544d1893dcc8d991d5a86a/P8.jpg', 'https://media-photos.depop.com/b1/18852964/1680500676_7919d885fc824850bc3b77cbd231747a/P8.jpg']",Other,['US 10'],135.00,,,USD,10.99,,dartherickson,20.0,108.00
368880200,roninsupply-mf-doom-x-nike-custom,https://www.depop.com/products/roninsupply-mf-doom-x-nike-custom,True,2023-07-26T18:10:34.613884Z,"['https://media-photos.depop.com/b1/9779989/1570834270_0226d81049b3404db5554d1a6a717691/P8.jpg', 'https://media-photos.depop.com/b1/9779989/1570834229_302c821e874d4555bccefcbdc7a8ce47/P8.jpg', 'https://media-photos.depop.com/b1/9779989/1570834254_7c4148e09668472f984f08addc0816ae/P8.jpg', 'https://media-photos.depop.com/b1/9779989/1570834297_1ea4fbd536ea4c2c9931b0670d68c7fa/P8.jpg']",Nike,"['S', 'M', 'L', 'XL', 'XXL']",110.00,,,USD,7.99,30.00,roninsupply,,
334753809,carilano-mf-doom-nike-sb-dunks,https://www.depop.com/products/carilano-mf-doom-nike-sb-dunks,True,2023-01-19T03:52:54.099004Z,"['https://media-photos.depop.com/b1/1632864/1430451857_52621e2150374897a19a5c11ff67be83/P8.jpg', 'https://media-photos.depop.com/b1/1632864/1430093913_ad4a7caa32694ce8a2b671c108714d03/P8.jpg', 'https://media-photos.depop.com/b1/1632864/1430090585_72ea03110519415da580d2b5f3678350/P8.jpg', 'https://media-photos.depop.com/b1/1632864/1430094494_218810b6f9b94cb3b53c12d3781fac3d/P8.jpg']",Nike,['Other'],7000.00,,,USD,0.00,,carilano,,
316091723,b3nn-nike-sb-dunk-high-x,https://www.depop.com/products/b3nn-nike-sb-dunk-high-x,True,2022-09-05T15:30:14.293133Z,"['https://media-photos.depop.com/b1/28650282/1427240942_d079505062414ea58132c7f02b9b62cf/P8.jpg', 'https://media-photos.depop.com/b1/28650282/1427241012_c37f51e550b649e6a65c91310bab76f3/P8.jpg', 'https://media-photos.depop.com/b1/28650282/1427241142_53a5394ed38a4959be8b89f0124fa1f8/P8.jpg']",Nike,['US 9.5'],9999.00,,,USD,10.99,,b3nn,,
108342412,sumirsway-nike-sb-mf-dooms,https://www.depop.com/products/sumirsway-nike-sb-mf-dooms,True,2019-06-06T01:53:33.190437Z,"['https://media-photos.depop.com/b0/14274062/519831226_yq9e65sjC8/P8.jpg', 'https://media-photos.depop.com/b0/14274062/519831303_uvGUnCKcSl/P8.jpg', 'https://media-photos.depop.com/b0/14274062/519831381_HhWXOTm1Ye/P8.jpg', 'https://media-photos.depop.com/b0/14274062/519831487_VGtTHe5g30/P8.jpg']",Nike,['US 8.5'],6900.00,,,USD,50.00,,sumirsway,,
