Columns,Example1,Example2
itemHref,https://api.ebay.com/buy/browse/v1/item/v1%7C144915052745%7C0,https://api.ebay.com/buy/browse/v1/item/v1%7C405003538792%7C0
condition,Pre-owned,Pre-owned
conditionId,3000,3000
thumbnailImages,[{'imageUrl': 'https://i.ebayimg.com/images/g/YEIAAOSwRSNj0F2C/s-l1600.jpg'}],[{'imageUrl': 'https://i.ebayimg.com/images/g/W7wAAOSwyJlmVkrj/s-l1600.jpg'}]
shippingOptions,"[{'shippingCostType': 'FIXED', 'shippingCost': {'value': '75.00', 'currency': 'USD'}}]",
buyingOptions,"['FIXED_PRICE', 'BEST_OFFER']","['FIXED_PRICE', 'BEST_OFFER']"
itemWebUrl,https://www.ebay.com/itm/144915052745?hash=item21bd9c38c9:g:YEIAAOSwRSNj0F2C&amdata=enc%3AAQAJAAAA4DxIDN%2Bs2brBrK%2F3nzT8oOMInPQ8kSSjejkENL%2B%2BN%2FZ1DLaYxzP34WMTEnnRzKsyky4HAR2l9qQOAJM4MR7YbEsuA2Kcnpx64lQ4PbE95hLt4q3rKuN7BEeO%2FW1RB2buIv9xe%2Bh4RnKoVRFPxwdytp2xz8%2FJwuBdwwSlB9UfaU2IO3%2BueZCpf%2FEJDT08N0Hyz52%2ByK52ZQDCwkbHbANHfUkUF7V%2BG1j0G5ApUC42UmBugTqGl3C8ubB3DurFZEm6o5xsSUasiJeVt2Fhd14%2FBFF2FTYtHJUd9YmjSk6Mviu6,https://www.ebay.com/itm/405003538792?hash=item5e4c179168:g:W7wAAOSwyJlmVkrj
additionalImages,"[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/8gkAAOSwET1j0F2D/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/AKUAAOSwUZRj0F2E/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/kccAAOSwjXlj0F2C/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/fkkAAOSwDflj0F2C/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/Me0AAOSwCv1j0F2C/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/1nYAAOSwM6Vj0F2E/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/m-AAAOSwpwBj0F2E/s-l225.jpg'}]","[{'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/jE0AAOSwi6VmVkrj/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/SUcAAOSwRbdmVkrj/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/yf0AAOSwY6hmVkrl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/FgYAAOSwvNFmVkrk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/CjYAAOSwNQpmVkrk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/J8sAAOSwEKdmVkrk/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/nWwAAOSwnHFmVkrl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/DxEAAOSwffZmVkrl/s-l225.jpg'}, {'imageUrl': 'https://i.ebayimg.com/thumbs/images/g/BSYAAOSwiN1mVkrl/s-l225.jpg'}]"
adultOnly,FALSE,FALSE
legacyItemId,1.44915E+11,4.05004E+11
availableCoupons,FALSE,FALSE
itemCreationDate,2023-01-24T22:41:26.000Z,2024-05-28T21:27:12.000Z
topRatedBuyingExperience,FALSE,FALSE
priorityListing,TRUE,FALSE
listingMarketplaceId,EBAY_US,EBAY_US
image.imageUrl,https://i.ebayimg.com/thumbs/images/g/YEIAAOSwRSNj0F2C/s-l225.jpg,https://i.ebayimg.com/thumbs/images/g/W7wAAOSwyJlmVkrj/s-l225.jpg
price.value,300,1199.99
price.currency,USD,USD
seller.username,flipitsf,chans_kicks
seller.feedbackPercentage,100,100
seller.feedbackScore,3799,7
itemLocation.postalCode,941**,282**
itemLocation.country,US,US
epid,,24039820834
